LAYOUT PESQUISA ORIGEM DESTINO 2007;;; ;;;
;Variável;Conteúdo;Início;Fim;Compr;Códigos
62;TRAB1_RE;Primeiro Trabalho é igual a Residência ?;228;228;1;1 - Sim
;;;;;;2 - Não
;;;;;;3 – Sem endereço fixo
63;TRABEXT1;Realiza Trabalho Externo-1º Trabalho;229;229;1;1 - Sim
;;;;;;2 - Não
64;OCUP1;Ocupação do 1º Trabalho;230;232;3;
65;SETOR1;Setor de Atividade do 1º Trabalho;233;234;2;
66;VINC1;Vínculo Empregatício do 1º Trabalho;235;235;1;1 - Assalariado com carteira
;;;;;;2 - Assalariado sem carteira
;;;;;;3 - Funcionário Público
;;;;;;4 - Autônomo
;;;;;;5 - Empregador
;;;;;;6 - Profissional Liberal
;;;;;;7 – Dono de Negócio Familiar
;;;;;;8 - Trabalho Familiar
67;ZONATRA2;Zona do Segundo Trabalho;236;238;3;1 a 460
68;MUNITRA2;Município do Segundo Trabalho;239;240;2;1 a 39
69;CO_TR2_X;Coordenada X 2º Trabalho;241;252;12;12 dígitos 2 casas decimais
70;CO_TR2_Y;Coordenada Y 2º Trabalho;253;264;12;12 dígitos 2 casas decimais
71;TRAB2_RE;Segundo Trabalho é igual a Residência ?;265;265;1;1 - Sim
;;;;;;2 - Não
;;;;;;3 – Sem endereço fixo
72;TRABEXT2;Realiza Trabalho Externo 2º Trabalho;266;266;1;1 - Sim
;;;;;;2 - Não
73;OCUP2;Ocupação do 2º Trabalho;267;269;3;
74;SETOR2;Setor de Atividade do 2º Trabalho;270;271;2;
75;VINC2;Vínculo Empregatício do 2º Trabalho;272;272;1;idem ao 1º Trabalho
76;N_VIAG;Número da Viagem;273;274;2;
77;FE_VIA;Fator de Expansão da Viagem;275;284;10;10 dígitos 5 casas decimais
78;DIA_SEM;Dia da Semana;285;285;1;2 - Segunda-Feira
;;;;;;3 - Terça-Feira
;;;;;;4 - Quarta-Feira
;;;;;;5 - Quinta-Feira
;;;;;;6 - Sexta-Feira
79;TOT_VIAG;Total de Viagens da Pessoa;286;287;2;
80;ZONA_O;Zona de Origem;288;290;3;1 a 460
81;MUNI_O;Município de Origem;291;292;2;1 a 39
82;CO_O_X;Coordenada X Origem;293;304;12;12 dígitos 2 casas decimais
83;CO_O_Y;Coordenada Y Origem;305;316;12;12 dígitos 2 casas decimais
84;ZONA_D;Zona de Destino;317;319;3;1 a 460
85;MUNI_D;Município de Destino;320;321;2;1 a 39
86;CO_D_X;Coordenada X Destino;322;333;12;12 dígitos 2 casas decimais
87;CO_D_Y;Coordenada Y Destino;334;345;12;12 dígitos 2 casas decimais
88;ZONA_T1;Zona da 1ª Transferência;346;348;3;1 a 460
89;MUNI_T1;Município 1ª Transferência;349;350;2;1 a 39
90;CO_T1_X;Coordenada X 1ª Transferência;351;362;12;12 dígitos 2 casas decimais
91;CO_T1_Y;Coordenada Y 1ª Transferência;363;374;12;12 dígitos 2 casas decimais
92;ZONA_T2;Zona da 2ª Transferência;375;377;3;1 a 460
93;MUNI_T2;Município 2ª Transferência;378;379;2;1 a 39
94;CO_T2_X;Coordenada X 2ª Transferência;380;391;12;12 dígitos 2 casas decimais
95;CO_T2_Y;Coordenada Y 2ª Transferência;392;403;12;12 dígitos 2 casas decimais
96;ZONA_T3;Zona da 3ª Transferência;404;406;3;1 a 460
97;MUNI_T3;Município 3ª Transferência;407;408;2;1 a 39
98;CO_T3_X;Coordenada X 3ª Transferência;409;420;12;12 dígitos 2 casas decimais
99;CO_T3_Y;Coordenada Y 3ª Transferência;421;432;12;12 dígitos 2 casas decimais
100;MOTIVO_O;Motivo na Origem;433;434;2;1 - Trabalho/Indústria
;;;;;;2 - Trabalho/Comércio
;;;;;;3 - Trabalho/Serviços
;;;;;;4 - Educação
;;;;;;5 - Compras
;;;;;;6 - Saúde
;;;;;;7 - Lazer
;;;;;;8 - Residência
;;;;;;9 – Procurar Emprego
;;;;;;10 – Assuntos Pessoais
101;MOTIVO_D;Motivo no Destino;435;436;2;idem ao anterior
102;SERVIR_O;Servir Passageiro na Origem ;437;437;1;1 - Sim
;;;;;;2 - Não
103;SERVIR_D;Servir Passageiro no Destino;438;438;1;1 - Sim
;;;;;;2 - Não
104;MODO1;Modo 1;439;440;2;01 – Ônibus Município S.Paulo
;;;;;;02 – Ônibus Outros Municípios
;;;;;;03 – Ônibus Metropolitano
;;;;;;04 - Ônibus Fretado
;;;;;;05 - Escolar
;;;;;;06 - Dirigindo Automóvel
;;;;;;07 - Passageiro de Automóvel
;;;;;;08 - Táxi
;;;;;;09 – Microônibus/Van Município de S.Paulo
;;;;;;10 – Microônibus/Van Outros Município
;;;;;;11 – Microônibus/Van Metropolitano
;;;;;;12 - Metrô
;;;;;;13 - Trem
;;;;;;14 - Moto
;;;;;;15 - Bicicleta
;;;;;;16 - A Pé
;;;;;;17 - Outros
105;MODO2;Modo 2;441;442;2;idem ao anterior
106;MODO3;Modo 3;443;444;2;idem ao anterior
107;MODO4;Modo 4;445;446;2;idem ao anterior
108;H_SAIDA;Hora Saída;447;448;2;Hora de Saída
109;MIN_SAIDA;Minuto Saída;449;450;2;Minuto de Saída
110;ANDA_O;Tempo Andando na Origem;451;452;2;Em minutos
111;H_CHEG;Hora Chegada;453;454;2;Hora de Chegada
112;MIN_CHEG;Minuto Chegada;455;456;2;Minuto de Chegada
113;ANDA_D;Tempo Andando no Destino;457;458;2;Em minutos
114;DURACAO;Duração da Viagem (em minutos);459;461;3;
115;MODOPRIN;Modo Principal;462;463;2;01 – Ônibus Município S.Paulo
;;;;;;02 – Ônibus Outros Municípios
;;;;;;03 – Ônibus Metropolitano
;;;;;;04 - Ônibus Fretado
;;;;;;05 - Escolar
;;;;;;06 - Dirigindo Automóvel
;;;;;;07 - Passageiro de Automóvel
;;;;;;08 - Táxi
;;;;;;09 – Microônibus/Van Município de S.Paulo
;;;;;;10 – Microônibus/Van Outros Município
;;;;;;11 – Microônibus/Van Metropolitano
;;;;;;12 - Metrô
;;;;;;13 - Trem
;;;;;;14 - Moto
;;;;;;15 - Bicicleta
;;;;;;16 - A Pé
;;;;;;17 - Outros
116;TIPOVG;Tipo de Viagem ;464;464;1;1 - Coletivo
;;;;;;2 - Individual
;;;;;;3 - A pé
117;PAG_VIAG;Quem Pagou a Viagem;465;465;1;1 – Você/Sua Família
;;;;;;2 – Empregador
;;;;;;3 - Isento
;;;;;;4 - Outros
118;TP_ESAUTO;Tipo de Estacionamento Automóvel;466;466;1;1 – Não Estacionou
;;;;;;2 – Zona azul/Zona marrom
;;;;;;3 – Patrocinado
;;;;;;4 – Proprio
;;;;;;5 – Meio-Fio
;;;;;;6 – Avulso
;;;;;;7 – Mensal
;;;;;;8 – Não respondeu
119;VL_EST;Valor do Estacionamento Automóvel;467;470;4;
120;PE_BICI;Por Que Viajou A Pé ou Bicicleta;471;471;1;1 – Pequena Distância
;;;;;;2 – Condução Cara
;;;;;;3 – Ponto/Estação Distante
;;;;;;4 – Condução Demora a Passar
;;;;;;5 – Viagem Demorada
;;;;;;6 – Condução Lotada
;;;;;;7 – Atividade Física
;;;;;;8 – Outros Motivos
121;TP_ESBICI;Estacionamento Bicicleta;472;472;1;1 – Bicicletário Gratuito
;;;;;;2 – Bicicletário Pago
;;;;;;3 – Local Privado
;;;;;;4 – Rua/Local Público
;;;;;;5 – Outros
122;ID_ORDEM;Número de Ordem do Registro;473;478;6;1 a 196.698
